M,Issuance province,port,Brand,Model,Year of manufacture,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,General total,Country,Shape,Fuel_Type
1.0,Cairo,New Cairo Traffic Unit,MG,GT,,,1.0,,31.0,32.0,China,Sedan,Petrol
2.0,Cairo,New Cairo Traffic Unit,MG,ZS,,1.0,,,29.0,30.0,China,SUV,Petrol
3.0,Cairo,New Cairo Traffic Unit,MG,one,,,1.0,,26.0,27.0,China,SUV,Petrol
4.0,Cairo,New Cairo Traffic Unit,MG,5,,,,,19.0,19.0,China,Sedan,Electric
5.0,Cairo,New Cairo Traffic Unit,MG,HS,,,,,12.0,12.0,China,SUV,Petrol
6.0,Cairo,New Cairo Traffic Unit,MG,7,,,,,11.0,11.0,China,Sedan,Petrol
7.0,Cairo,New Cairo Traffic Unit,MG,RX5,,,,,6.0,6.0,China,SUV,Petrol
8.0,Cairo,New Cairo Traffic Unit,Nissan,Sunny,,,,,76.0,76.0,Japan,Sedan,Petrol
9.0,Cairo,New Cairo Traffic Unit,Nissan,Centra,,,,,28.0,28.0,Japan,Sedan,Petrol
10.0,Cairo,New Cairo Traffic Unit,Nissan,Qashqai,,,,,16.0,16.0,Japan,SUV,Petrol
11.0,Cairo,New Cairo Traffic Unit,Nissan,juke. juke,,,,,6.0,6.0,Japan,SUV,Electric
12.0,Cairo,New Cairo Traffic Unit,Nissan,X-Trail,,,,4.0,,4.0,Japan,SUV,Petrol
13.0,Cairo,New Cairo Traffic Unit,Nissan,Kicks,1.0,,,,,1.0,Japan,SUV,Petrol
14.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,E200,,,3.0,5.0,20.0,28.0,Germany,Sedan,Petrol
15.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,C-180,,1.0,4.0,9.0,8.0,22.0,Germany,Sedan,Electric
16.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,glc300,,,,5.0,12.0,17.0,Germany,SUV,Petrol
17.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,C200,2.0,1.0,5.0,3.0,4.0,15.0,Germany,Sedan,Petrol
18.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,GLC43,,,,1.0,6.0,7.0,Germany,SUV,Petrol
19.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,GLA200,1.0,,,1.0,4.0,6.0,Germany,SUV,Petrol
20.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,CLA200,,,,1.0,5.0,6.0,Germany,Sedan,Petrol
21.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,GLC200,,,,2.0,3.0,5.0,Germany,SUV,Petrol
22.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,gls580,,,,4.0,,4.0,Germany,SUV,Electric
23.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,GLE450,,,,4.0,,4.0,Germany,SUV,Petrol
24.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,G63,,,,2.0,1.0,3.0,Germany,SUV,Petrol
